target,mode,model,output_type,feature,n_total_splits,mean_abs_shap_avg,rank_avg,n_splits_present,rank_final,total_importance,cumulative_importance,cumulative_fraction,feature_type,category
Bleach1,3,XGBoost,shap,X2278568...G.A.....GT,5,0.00256326379,27.8,5,8,0.039990069899,0.031335608870000004,0.783584748642402,SNP,Antiseptic
Bleach1,3,XGBoost,shap,Clusters_4,5,0.00212111,21.2,5,9,0.039990069899,0.033456718870000006,0.8366256661841102,STR,Antiseptic
Bleach1,3,XGBoost,shap,group_20411,5,0.00163284438,37.2,5,10,0.039990069899,0.035089563250000004,0.8774569121440186,PAN,Antiseptic
Bleach25,3,XGBoost,shap,Clusters_2,5,0.00759350486,2.8,5,1,0.037780374217,0.00759350486,0.20099072646514862,STR,Antiseptic
Bleach25,3,XGBoost,shap,Clusters_4,5,0.00470893748,21.6,5,2,0.037780374217,0.01230244234,0.32563050512253217,STR,Antiseptic
Bleach25,3,XGBoost,shap,Clusters_6,5,0.00393675438,9.8,5,3,0.037780374217,0.01623919672,0.4298315476370497,STR,Antiseptic
Bleach25,3,XGBoost,shap,Clusters_9,5,0.003269187204,48.2,5,4,0.037780374217,0.019508383924000002,0.5163629087406401,STR,Antiseptic
Bleach25,3,XGBoost,shap,Clusters_8,5,0.0030303506799999997,43.6,5,5,0.037780374217,0.022538734604,0.5965725610483305,STR,Antiseptic
Bleach25,3,XGBoost,shap,group_2698,5,0.0022368312,28.8,5,6,0.037780374217,0.024775565804,0.6557787294984432,PAN,Antiseptic
Bleach25,3,XGBoost,shap,Clusters_3,5,0.00208644848,30.6,5,7,0.037780374217,0.026862014284,0.711004452462859,STR,Antiseptic
Bleach25,3,XGBoost,shap,group_7227,5,0.0015622377879999998,52,5,8,0.037780374217,0.028424252072,0.7523549636840274,PAN,Antiseptic
Bleach25,3,XGBoost,shap,Clusters_5,5,0.00151019132,48.6,5,9,0.037780374217,0.029934443392,0.7923278689635219,STR,Antiseptic
Bleach25,3,XGBoost,shap,group_8611,5,0.001419732096,49,5,10,0.037780374217,0.031354175488,0.8299064299339732,PAN,Antiseptic
Blood,3,XGBoost,shap,Clusters_2,5,0.0212154825,1.2,5,1,0.10160514613120002,0.0212154825,0.20880322806292717,STR,Carbon source utilisation
Blood,3,XGBoost,shap,aac6IIc~~~aac6Ib,5,0.0125153504,2.2,5,2,0.10160514613120002,0.0337308329,0.33197957174771714,PAN,Carbon source utilisation
Blood,3,XGBoost,shap,Clusters_4,5,0.00900520834,4,5,3,0.10160514613120002,0.04273604124,0.4206090229407878,STR,Carbon source utilisation
Blood,3,XGBoost,shap,Clusters_22,5,0.00701471486,9.2,5,4,0.10160514613120002,0.0497507561,0.4896479951493616,STR,Carbon source utilisation
Blood,3,XGBoost,shap,Clusters_25,5,0.00521541488,15.6,5,5,0.10160514613120002,0.05496617098,0.5409782188495025,STR,Carbon source utilisation
Blood,3,XGBoost,shap,Clusters_3,5,0.00465151742,25.2,5,6,0.10160514613120002,0.0596176884,0.5867585518061976,STR,Carbon source utilisation
Blood,3,XGBoost,shap,Clusters_5,5,0.00421654526,20.4,5,7,0.10160514613120002,0.06383423366,0.6282578795524053,STR,Carbon source utilisation
Blood,3,XGBoost,shap,Clusters_7,5,0.003718042468,49.4,5,8,0.10160514613120002,0.06755227612800001,0.6648509322625407,STR,Carbon source utilisation
Blood,3,XGBoost,shap,Clusters_9,5,0.00312584408,48,5,9,0.10160514613120002,0.070678120208,0.6956155558965018,STR,Carbon source utilisation
Blood,3,XGBoost,shap,group_2081,5,0.0029395968,41.2,5,10,0.10160514613120002,0.073617717008,0.7245471298563895,PAN,Carbon source utilisation
CaCl220mM,3,XGBoost,shap,Clusters_2,5,0.0094844697,1,5,1,0.047173733519600025,0.0094844697,0.20105403987283169,STR,Environmental stress
CaCl220mM,3,XGBoost,shap,group_8662,5,0.00402165882,15,5,2,0.047173733519600025,0.01350612852,0.2863061180940532,PAN,Environmental stress
CaCl220mM,3,XGBoost,shap,Clusters_3,5,0.0039189316,8.4,5,3,0.047173733519600025,0.017425060120000002,0.3693805603230479,STR,Environmental stress
CaCl220mM,3,XGBoost,shap,group_5154,5,0.00244886582,25.2,5,4,0.047173733519600025,0.019873925940000002,0.4212921992223207,PAN,Environmental stress
CaCl220mM,3,XGBoost,shap,Clusters_8,5,0.00218364634,17.8,5,5,0.047173733519600025,0.022057572280000003,0.4675816526337775,STR,Environmental stress
CaCl220mM,3,XGBoost,shap,Clusters_5,5,0.00212647708,32.2,5,6,0.047173733519600025,0.024184049360000005,0.5126592185024293,STR,Environmental stress
CaCl220mM,3,XGBoost,shap,Clusters_22,5,0.0020873415,20,5,7,0.047173733519600025,0.026271390860000004,0.5569071790572737,STR,Environmental stress
CaCl220mM,3,XGBoost,shap,Clusters_4,5,0.002053339174,30.4,5,8,0.047173733519600025,0.028324730034000004,0.6004343502349984,STR,Environmental stress
CaCl220mM,3,XGBoost,shap,Clusters_10,5,0.002033670374,22,5,9,0.047173733519600025,0.030358400408000003,0.6435445775218642,STR,Environmental stress
CaCl220mM,3,XGBoost,shap,Clusters_6,5,0.001937343888,27.8,5,10,0.047173733519600025,0.032295744296000004,0.6846128530950719,STR,Environmental stress
CaCl240mM,3,XGBoost,shap,Clusters_2,5,0.0122387096,1,5,1,0.04634949801159999,0.0122387096,0.26405268935031384,STR,Environmental stress
CaCl240mM,3,XGBoost,shap,Clusters_3,5,0.0038552599600000003,11.6,5,2,0.04634949801159999,0.01609396956,0.34723071986609494,STR,Environmental stress
CaCl240mM,3,XGBoost,shap,group_5994,5,0.00285841916,19.4,5,3,0.04634949801159999,0.01895238872,0.4089017040757755,PAN,Environmental stress
CaCl240mM,3,XGBoost,shap,X698425...C.G.....GT,5,0.00274986864,12.4,5,4,0.04634949801159999,0.02170225736,0.46823068837916065,SNP,Environmental stress
CaCl240mM,3,XGBoost,shap,group_7737,5,0.00251027022,28,5,5,0.04634949801159999,0.02421252758,0.522390287246267,PAN,Environmental stress
CaCl240mM,3,XGBoost,shap,group_8662,5,0.00206659972,24,5,6,0.04634949801159999,0.0262791273,0.5669776033695784,PAN,Environmental stress
CaCl240mM,3,XGBoost,shap,Clusters_5,5,0.00197050488,23.8,5,7,0.04634949801159999,0.02824963218,0.6094916534571724,STR,Environmental stress
CaCl240mM,3,XGBoost,shap,Clusters_9,5,0.0016328285120000001,59.6,5,8,0.04634949801159999,0.029882460692000002,0.6447202661077636,STR,Environmental stress
