Gene,Annotation
group_11308,Ead/Ea22-like family protein
group_11306,MurR/RpiR family transcriptional regulator
group_11303,tRNA glutamyl-Q(34) synthetase GluQRS
group_11297,hypothetical protein
group_11296,hypothetical protein
group_11295,DUF4054 domain-containing protein
group_11289,Secreted protein
group_11283,putative RNA-binding protein YhfF contains PUA-like ASCH domain
fliS,flagellar export chaperone FliS
group_11276,hypothetical protein
group_11271,Uncharacterized protein containing a TIR (Toll-Interleukin 1-resistance) domain
group_11269,14-dihydroxy-2-naphthoyl-CoA hydrolase
group_11266,Lipoprotein
group_11264,DNA-binding transcriptional regulator LysR family
group_11256,Periplasmic serine protease ClpP class
group_11251,Host cell division inhibitor Icd-like protein
group_11248,hypothetical protein
group_11246,Host cell division inhibitor Icd-like protein
group_11244,DUF551 domain-containing protein
group_11232,hypothetical protein
group_11229,DNA-binding transcriptional regulator LysR family
group_11228,DNA-binding transcriptional regulator LysR family
group_11227,DNA-binding transcriptional regulator LysR family
group_11226,transcriptional regulator CynR
group_11223,Bpu10I family restriction endonuclease
group_11219,Transmembrane protein
group_11218,EamA domain-containing protein
group_11209,L-fucose mutarotase/ribose pyranase RbsD/FucU family
group_11208,Rhodanese-related sulfurtransferase
flgB,flagellar basal body rod protein FlgB
group_11197,hypothetical protein
group_11196,Transmembrane protein
group_11193,DNA breaking-rejoining protein
yhfF,putative RNA-binding protein YhfF contains PUA-like ASCH domain
group_11184,Antimicrobial resistance protein Mig-14
ddpC,DD-dipeptide ABC transporter permease
group_11179,Glyoxylase or a related metal-dependent hydrolase beta-lactamase superfamily II
group_11178,DNA-binding transcriptional regulator LysR family
motA,flagellar motor stator protein MotA
group_11176,Transcriptional regulator GlxA contains an amidase domain and an AraC-type DNA-binding HTH domain
group_11173,Caspase family protein
group_11166,4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase
group_11162,P-type conjugative transfer protein VirB9
group_11158,HNH endonuclease
group_11152,hypothetical protein
group_11148,ead/Ea22-like family protein
fliN,flagellar motor switch protein FliN
group_11142,CD-NTase-associated protein 12/Pycsar effector protein TIR domain-containing protein
group_11139,PAS domain-containing protein
group_11138,cysteine desulfuration protein SufE
group_11135,4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase
group_11133,hypothetical protein
nanA,N-acetylneuraminate lyase
group_11130,ABC-type amino acid transport/signal transduction system periplasmic component/domain
group_11125,NAD(P)/FAD-dependent oxidoreductase
group_11124,HMG-box domain-containing protein
group_11121,DNA-binding transcriptional regulator LysR family
group_11087,hypothetical protein
group_11085,Abortive phage resistance protein
group_11082,Phage protein
group_11081,DNA-binding transcriptional regulator LysR family
group_11080,LysR family transcriptional regulator
group_11079,Permease of the drug/metabolite transporter (DMT) superfamily
group_11078,DNA-binding transcriptional regulator LysR family
group_11075,Terminase small subunit
group_11073,hypothetical protein
group_11071,DNA-binding transcriptional regulator LysR family
group_11067,Lipoprotein
group_11065,HNH endonuclease
group_11054,Replication protein
group_11037,DUF2787 domain-containing protein
group_11036,Regulator of acetyl CoA synthetase ankyrin-like regulatory protein
group_11035,Phage tail protein
group_11033,hypothetical protein
group_11032,Peptidase C13 family
group_11027,DNA-binding transcriptional regulator LysR family
group_11026,hypothetical protein
group_11024,DNA-binding transcriptional regulator LysR family
group_11022,hypothetical protein
group_11019,Enamine deaminase RidA house cleaning of reactive enamine intermediates YjgF/YER057c/UK114 family
group_11018,Phage-related lysozyme (muramidase) GH24 family
group_11017,Polysaccharide deacetylase
group_11016,4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase
group_11014,hypothetical protein
group_11013,LysR family transcripitonal regulator
group_11004,ead/Ea22-like family protein
group_11003,Lipoprotein
group_11002,Transcriptional regulatory protein C-terminal domain protein
group_11000,BMC domain-containing protein
group_10996,Phage protein
group_10995,Phage protein
group_10988,DUF4365 domain-containing protein
group_10987,hypothetical protein
group_10979,Rz-like lysis system protein LysB
group_10973,hypothetical protein
yeaD2,Uncharacterized conserved protein DUF58 family contains vWF domain
group_10961,carbamate kinase
group_10960,DNA-binding transcriptional regulator LysR family
group_10956,hypothetical protein
group_10955,DUF550 domain-containing protein
group_10951,hypothetical protein
group_10949,AbiTii domain-containing protein
group_10948,AbiTii domain-containing protein
group_10940,hypothetical protein
group_10934,hypothetical protein
group_10931,hypothetical protein
group_10928,Phage protein
group_10925,hypothetical protein
group_10924,DUF2236 domain-containing protein
group_10921,DUF6387 domain-containing protein
group_10904,DUF1320 domain-containing protein
group_10903,Phage protein
group_10900,hypothetical protein
group_10898,ead/Ea22-like family protein
group_10895,Methyltransferase
group_10889,DNA-binding transcriptional regulator LysR family
group_10888,Abortive phage resistance protein
group_10885,Restriction endonuclease
group_10882,Restriction endonuclease type IV Mrr domain-containing protein
group_10878,hypothetical protein
group_10877,Enoyl-CoA hydratase
group_10876,Putative lipoprotein
group_10873,DNA-binding transcriptional regulator MerR family
group_10867,Cyclophilin-like domain-containing protein
group_10865,Lysozyme
group_10863,Baseplate protein J-like domain-containing protein
group_10855,site-specific DNA-methyltransferase (adenine-specific)
group_10851,Abortive phage resistance protein
group_10849,Transketolase C-terminal subunit
group_10829,hypothetical protein
group_10828,hypothetical protein
group_10827,Helix-turn-helix domain-containing protein
group_10826,hypothetical protein
group_10824,Branched-chain amino acid ABC-type transport system permease component
group_10822,Universal stress protein
group_10819,Organic hydroperoxide reductase OsmC/OhrA
group_10818,ead/Ea22-like family protein
group_10817,FRG domain-containing protein
group_10815,Nucleotide-binding universal stress protein UspA family
group_10812,Phage protein
group_10810,hypothetical protein
group_10801,LysA protein
group_10796,DUF551 domain-containing protein
group_10790,ABC-type Zn uptake system ZnuABC Zn-binding component ZnuA
group_10788,putative membrane chloride channel bestrophin family
group_10784,hypothetical protein
group_10780,Acetyltransferase GNAT family
group_10771,restriction endonuclease
group_10766,A/G-specific adenine glycosylase
group_10763,ubiquitin carboxyl-hydrolase
pgaD,poly-beta-16-N-acetyl-D-glucosamine biosynthesis protein PgaD
group_10758,DNA-binding winged helix-turn-helix (wHTH) domain
group_10757,KilA-N domain-containing protein
flgN,Flagellar biosynthesis/type III secretory pathway chaperone FlgN
group_10756,hypothetical protein
group_10755,DUF3102 domain-containing protein
group_10754,ABC-type amino acid transport system permease component
group_10749,hypothetical protein
group_10748,RiboL-PSP-HEPN domain-containing protein
group_10729,DUF4365 domain-containing protein
group_10727,hypothetical protein
group_10725,abortive phage resistance protein
group_10722,Dihydrodipicolinate synthase
group_10717,aminoimidazole riboside kinase
motB,flagellar motor protein MotB
group_10711,Transcriptional regulator
scrK,aminoimidazole riboside kinase
group_10708,ABC-type sugar transport system periplasmic component contains N-terminal xre family HTH domain
group_10704,ATP-binding protein
group_10703,hypothetical protein
group_10697,hypothetical protein
group_10695,RelE family toxin-antitoxin system
hofO,DNA utilization protein HofO
group_10694,Uncharacterized membrane protein
group_10691,ead/Ea22-like family protein
group_10687,ATP-binding protein
group_10686,Phage protein
group_10685,DUF2946 domain-containing protein
group_10684,Phage protein
group_10683,DUF4145 domain-containing protein
group_10681,PTS system ascorbate-specific transporter
group_10677,Divalent metal cation (Fe/Co/Zn/Cd) efflux pump
group_10675,hypothetical protein
yadG,Uncharacterized ABC transporter ATP-binding protein YadG
group_10659,DUF4747 domain-containing protein
group_10658,hypothetical protein
group_10651,ead/Ea22-like family protein
group_10644,Site-specific recombinase XerD
group_10642,Alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 3 domain-containing protein
group_10640,hypothetical protein
group_10636,Phage protein
group_10635,DNA-binding transcriptional regulator LysR family
group_10634,ABC-type spermidine/putrescine transport system permease component I
group_10633,KilA-N domain-containing protein
group_10631,DUF4381 domain-containing protein
group_10629,CopG family transcriptional regulator
group_10613,Type II secretion system protein M
group_10611,PTS EIIA type-4 domain-containing protein
group_10608,S1 RNA-binding domain-containing protein
group_10607,hypothetical protein
group_10604,hypothetical protein
group_10603,putative hydrolase of the alpha/beta superfamily
allS,HTH-type transcriptional activator AllS
group_10602,ABC-type amino acid transport/signal transduction system periplasmic component/domain
group_10599,DNA-binding transcriptional regulator LysR family
group_10597,DUF4393 domain-containing protein
group_10591,transcriptional regulator CynR
group_10589,Ead/Ea22-like family protein
group_10572,MobI
group_10570,DNA-binding transcriptional regulator LysR family
group_10569,acetyltransferase
group_10568,DNA-binding transcriptional regulator LysR family
group_10567,DNA-binding winged helix-turn-helix (wHTH) domain
group_10562,DNA-binding transcriptional regulator LysR family
group_10561,LysR substrate-binding domain protein
group_10560,Ivy family c-type lysozyme inhibitor
group_10557,Ascorbate-specific phosphotransferase enzyme IIA component
group_10556,glycoside hydrolase family protein
group_10548,Major facilitator superfamily permease
group_10547,hypothetical protein
group_10546,DUF551 domain-containing protein
group_10543,Dihydrodipicolinate synthase family protein
group_10542,hypothetical protein
group_10541,Malonyl CoA-acyl carrier protein transacylase
yahB,Uncharacterized HTH-type transcriptional regulator YahB
group_10536,hypothetical protein
group_10534,Gp49 family protein
group_10531,hypothetical protein
group_10528,Lipoprotein
group_10524,Ead/Ea22-like family protein
group_10523,hypothetical protein
group_10520,Helix-turn-helix domain-containing protein
group_10517,flagellar export protein FliJ
group_10516,DUF551 domain-containing protein
group_10513,putative permease AEC (auxin efflux carrier) family
group_10511,HTH hxlR-type domain-containing protein
group_10510,Phage protein
group_10485,Transcriptional regulator
group_10484,DNA-binding transcriptional regulator LysR family
group_10483,ABC-type glutathione transport system ATPase component contains duplicated ATPase domain
group_10482,ABC-type dipeptide/oligopeptide/nickel transport system permease component
group_10481,Periplasmic deferrochelatase/peroxidase EfeB
flgJ,flagellar assembly peptidoglycan hydrolase FlgJ
group_10480,N-acetyltransferase domain-containing protein
group_10475,Antirepressor protein ant N-terminal domain-containing protein
group_10474,3-carboxyethylcatechol 23-dioxygenase
group_10470,zincin-like metallopeptidase domain-containing protein
group_10468,Regulatory protein GemA
group_10466,hypothetical protein
group_10465,peptidoglycan-binding protein LysM
group_10462,EamA-like transporter family protein
group_10461,hypothetical protein
group_10460,ead/Ea22-like family protein
group_10457,recombination protein NinB
group_10456,Antirestriction protein ardC
group_10453,DUF2184 domain-containing protein
group_10451,Ankyrin repeat domain-containing protein
group_10449,AAA family ATPase
group_10448,Phosphoglycerate dehydrogenase or related dehydrogenase
group_10447,DNA primase
group_10445,Bacteriophage Mx8 p63 C-terminal domain-containing protein
group_10444,Fimbrial-type adhesion domain-containing protein
group_10443,Acetylxylan esterase
group_10441,Transcriptional regulator LysR family
group_10439,phage virion morphogenesis protein
group_10427,hypothetical protein
group_10425,Prophage protein
group_10421,hypothetical protein
group_10420,DNA repair protein RadC
group_10418,glutathione peroxidase
group_10417,DUF4007 domain-containing protein
group_10415,Lysozyme
group_10414,SIR2 family protein
group_10413,hypothetical protein
arcC,Carbamate kinase
group_10409,Ribbon-helix-helix protein CopG domain-containing protein
group_10405,acetaldehyde dehydrogenase (acetylating)
group_10402,DUF551 domain-containing protein
group_10397,DUF551 domain-containing protein
group_10386,HNH endonuclease signature motif containing protein
group_10381,Phage protein
ibsD,Small toxic protein IbsD
group_10364,Membrane protein YoeI
group_10363,ATP-binding protein
group_10359,hypothetical protein
yoaJ,Protein YoaJ
group_10354,Pyridoxal reductase PdxI or related oxidoreductase aldo/keto reductase family
group_10353,Transketolase C-terminal subunit
kdgT1,2-keto-3-deoxygluconate permease 1
segE,Putative endonuclease SegE GIY-YIG domain-containing protein
group_10349,HTH deoR-type domain-containing protein
group_10342,hypothetical protein
group_10335,RNA polymerase-binding protein DksA
group_10334,Diadenosine tetraphosphate hydrolase
glxA,Transcriptional regulator GlxA contains an amidase domain and an AraC-type DNA-binding HTH domain
group_10332,GAF domain
group_10331,Virulence factor VirK
group_10330,hypothetical protein
group_10327,Type II site-specific deoxyribonuclease
group_10326,hypothetical protein
group_10319,hypothetical protein
group_10315,phage baseplate assembly protein V
group_10307,GIY-YIG nuclease family protein
group_10304,Ead/Ea22-like family protein
group_10298,Valyl-tRNA synthetase
group_10297,biotin-dependent carboxyltransferase family protein
group_10293,hypothetical protein
group_10292,hypothetical protein
flgL,flagellar hook-associated protein FlgL
group_10291,Helix-turn-helix domain-containing protein
group_10290,MFS transporter
group_10287,hypothetical protein
group_10285,stress response membrane protein YncL
mgtR,protein MgtR
group_10284,hypothetical protein
group_10282,hypothetical protein
group_10280,hypothetical protein
group_10278,Phage EaA protein
group_10271,hypothetical protein
group_10263,Phage protein
group_10259,ABC transporter permease
group_10256,Haemolysin expression modulating protein
group_10255,taurine ABC transporter substrate-binding protein
group_10250,hypothetical protein
mgtS,protein MgtS
group_10247,DNA-processing protein DprA
group_10243,hypothetical protein
group_10242,hypothetical protein
group_10236,hypothetical protein
group_10228,GCN5-like N-acetyltransferase
group_10227,DUF551 domain-containing protein
group_10226,hypothetical protein
group_10225,DUF2806 domain-containing protein
group_10224,hypothetical protein
group_10223,hypothetical protein
group_10222,hypothetical protein
group_10219,hypothetical protein
group_10216,ead/Ea22-like family protein
group_10215,DNA-directed RNA polymerase subunit beta
group_10212,helix-turn-helix domain-containing protein
group_10211,Phage protein
group_10209,hypothetical protein
group_10202,Phage tail protein
group_10196,hypothetical protein
group_10190,hypothetical protein
group_10185,hypothetical protein
group_10183,hypothetical protein
group_10182,hypothetical protein
group_10181,hypothetical protein
group_10180,Ead/Ea22-like family protein
group_10179,NAD synthetase
group_10174,ABC transporter permease
group_10173,DUF1307 domain-containing protein
group_10170,hypothetical protein
group_10169,DUF550 domain-containing protein
group_10166,N-acetylneuraminate anomerase
group_10165,Cell wall-associated hydrolase NlpC_P60 family
group_10163,hypothetical protein
group_10162,hypothetical protein
group_10161,DUF551 domain-containing protein
group_10159,MFS transporter
group_10158,hypothetical protein
group_10152,serine protease
group_10149,Glycosyltransferase family 1 protein
group_10144,Phage protein
group_10143,LysR substrate binding domain-containing protein
group_10139,hypothetical protein
group_10138,hypothetical protein
group_10136,Prophage CPS-53 integrase
group_10130,ead/Ea22-like family protein
group_10126,hypothetical protein
group_10117,Inner membrane protein
nrfF,Cytochrome c-type biogenesis protein CcmH/NrfF
group_10110,Actin-like protein N-terminal domain-containing protein
group_10109,Ead/Ea22-like family protein
group_10107,putative DNA base hypermodification protein
group_10106,hypothetical protein
group_10101,porphobilinogen synthase
group_10098,169 kd lipoprotein
group_10097,GNAT family N-acetyltransferase
group_10093,hypothetical protein
group_10086,hypothetical protein
group_10085,DUF2806 domain-containing protein
chlD,vWFA (von Willebrand factor type A) domain of Mg and Co chelatases
group_10084,hypothetical protein
group_10083,hypothetical protein
group_10079,Head completion/stabilization protein
group_10064,Helix-turn-helix domain-containing protein
group_10063,DUF2513 domain-containing protein
group_10054,AraC family transcriptional regulator
group_10052,hypothetical protein
trmO,TrmO family methyltransferase
group_10049,hypothetical protein
group_10045,YdcK family protein
group_10043,DUF1852 domain-containing protein
group_10042,hypothetical protein
cynS,cyanase
group_10041,YmiA family putative membrane protein
group_10037,hypothetical protein
group_10036,hypothetical protein
group_10035,FidL-like membrane protein
group_10034,Membrane protein
group_10033,hypothetical protein
group_10027,Xylose isomerase-like TIM barrel domain-containing protein
group_10020,hypothetical protein
group_10011,hypothetical protein
group_10010,serine protease
group_10009,SIR2-like domain-containing protein
group_10006,hypothetical protein
group_10004,hypothetical protein
group_9997,replication protein C IncQ-type
group_9992,glycosyltransferase
group_9991,hypothetical protein
group_9990,DUF1441 domain-containing protein
group_9989,DUF4755 domain-containing protein
group_9988,Methionine ABC transporter ATP-binding protein
group_9987,D-threonate 4-phosphate dehydrogenase
nanQ,N-acetylneuraminate anomerase
group_9982,Ribosomal protein S18 acetylase RimI and related acetyltransferases
group_9981,toprim domain-containing protein
group_9980,Beta-galactosidase beta subunit
group_9970,Leader peptidase (Prepilin peptidase)
group_9969,hypothetical protein
group_9967,GNAT family N-acetyltransferase
yiaM,23-diketo-L-gulonate TRAP transporter small permease YiaM
group_9966,PF11158 family protein
group_9963,hypothetical protein
group_9961,hypothetical protein
group_9959,tRNA pseudouridine synthase B
group_9952,Inner membrane protein
group_9944,TRAP-type C4-dicarboxylate transport system periplasmic component
group_9943,ATP synthase subunit
group_9929,PRD domain-containing protein
group_9926,Ead/Ea22-like family protein
group_9923,hypothetical protein
group_9922,Ead/Ea22-like family protein
group_9921,Small membrane protein
group_9917,Replication protein
group_9915,RNA-directed DNA polymerase
ccmE,cytochrome c maturation protein CcmE
group_9912,DNA-binding transcriptional regulator LacI/PurR family
group_9911,ABC-type dipeptide/oligopeptide/nickel transport system ATPase component
group_9910,Flavin-dependent oxidoreductase luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)
group_9909,hypothetical protein
group_9908,hypothetical protein
group_9907,hypothetical protein
group_9906,Ead/Ea22-like family protein
group_9905,TMhelix containing protein
group_9904,Phage protein
group_9903,hypothetical protein
group_9901,fumarate hydratase FumD
group_9898,N-acetyltransferase domain-containing protein
group_9880,ead/Ea22-like family protein
group_9878,SMODS and SLOG-associating 2TM effector domain-containing protein
group_9874,hypothetical protein
fliG,flagellar motor switch protein FliG
group_9869,hypothetical protein
group_9868,DUF2474 domain-containing protein
group_9867,hypothetical protein
group_9866,hypothetical protein
group_9864,replication protein RepA
group_9863,DNA-binding transcriptional regulator LacI/PurR family
group_9862,hypothetical protein
group_9861,Lipoprotein
group_9860,DUF2474 domain-containing protein
group_9855,hypothetical protein
group_9845,DUF4054 domain-containing protein
group_9839,hypothetical protein
group_9835,Ribosomal protein S18 acetylase RimI and related acetyltransferases
group_9833,Membrane protein
group_9832,Haloacid dehalogenase
group_9830,ABC-type Fe3+-siderophore transport system permease component
group_9829,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
group_9825,hypothetical protein
group_9824,response regulator
meaB,methylmalonyl Co-A mutase-associated GTPase MeaB
group_9820,hypothetical protein
group_9819,DUF4760 domain-containing protein
group_9818,hypothetical protein
group_9813,hypothetical protein
group_9808,Lysozyme
group_9803,hypothetical protein
group_9801,HNH endonuclease
group_9797,hypothetical protein
group_9789,Glycosyl transferase
group_9787,Phage DNA packaging protein Nu1
group_9786,DNA (cytosine-5-)-methyltransferase
group_9784,hypothetical protein
group_9783,DUF551 domain-containing protein
group_9782,hypothetical protein
group_9781,hypothetical protein
moxR,MoxR-like ATPase
batD,BatD
group_9780,hypothetical protein
group_9779,dicarboxylate transporter/tellurite-resistance protein TehA
kdgT,2-keto-3-deoxygluconate transporter
group_9776,hypothetical protein
group_9774,hypothetical protein
group_9769,Type VI protein secretion system component Hcp (secreted cytotoxin)
group_9767,Spermidine/putrescine import ATP-binding protein PotA
group_9766,DUF551 domain-containing protein
group_9764,Flavin-dependent oxidoreductase luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)
group_9760,hypothetical protein
group_9757,Glutathione peroxidase
group_9755,Urease subunit gamma
group_9749,stationary-phase-induced ribosome-associated protein
group_9744,DUF4917 domain-containing protein
group_9743,hypothetical protein
earI,EarI
ftrA,transcriptional regulator FtrA
group_9736,Putative ABC transporter permease protein
group_9735,DNA-binding transcriptional regulator LacI/PurR family
group_9734,Protein/nucleotide deglycase PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)
group_9731,DUF892 domain-containing protein
group_9729,hypothetical protein
group_9708,Integrase
group_9706,hypothetical protein
group_9701,Phage capsid protein
group_9699,Ead/Ea22-like family protein
group_9697,DUF2806 domain-containing protein
group_9694,hypothetical protein
group_9693,NADPH:quinone reductase or related Zn-dependent oxidoreductase
group_9692,fimbrial protein BcfD
fliM,flagellar motor switch protein FliM
group_9686,Myo-inositol 2-dehydrogenase
group_9685,Putative catalase
group_9683,hypothetical protein
group_9680,Bacteriophage protein
group_9669,Ead domain protein
group_9668,DUF551 domain-containing protein
group_9666,Type II secretion system protein M
group_9665,Eae protein
group_9663,nucleotidyltransferase domain-containing protein
group_9662,Phosphoadenosine phosphosulphate reductase domain-containing protein
group_9661,hypothetical protein
group_9660,Nucleoid-associated protein
group_9658,DUF551 domain-containing protein
group_9656,hypothetical protein
group_9655,cytochrome d ubiquinol oxidase subunit II
group_9654,alcohol dehydrogenase AdhP
group_9653,DNA-binding transcriptional regulator MarR family
group_9652,cytochrome d ubiquinol oxidase subunit II
group_9648,B3/4 domain
group_9642,DUF551 domain-containing protein
sra,stationary-phase-induced ribosome-associated protein
group_9626,hypothetical protein
int,Integrase
group_9625,hypothetical protein
group_9621,Mutator family transposase
group_9618,ABC-type Fe3+/spermidine/putrescine transport systems ATPase component
group_9616,hypothetical protein
group_9615,Conjugal transfer protein
group_9606,Sulfatase maturation enzyme AslB radical SAM superfamily
fliL,flagellar basal body-associated protein FliL
group_9600,hypothetical protein
group_9597,putative phage abortive infection protein
group_9596,Fungal lipase-like domain-containing protein
group_9592,Ead/Ea22-like family protein
group_9584,DNA-binding transcriptional regulator LacI/PurR family
group_9580,DNA-binding transcriptional regulator LacI/PurR family
group_9576,hypothetical protein
group_9574,ImmA/IrrE family metallo-endopeptidase
group_9572,4-hydroxy-2-oxovalerate aldolase
group_9559,Ovule protein
group_9558,hypothetical protein
group_9554,Addiction module toxin RelE
group_9547,Phage protein
group_9546,hypothetical protein
group_9543,Cytoplasmic protein
group_9541,ABC-type dipeptide/oligopeptide/nickel transport system permease component
group_9539,Zn-dependent oxidoreductase
group_9538,thymidylate synthase
group_9534,Zn-dependent oxidoreductase
group_9532,DNA-binding transcriptional regulator LacI/PurR family
group_9531,DUF4365 domain-containing protein
group_9529,P-type DNA transfer ATPase VirB11
group_9527,hypothetical protein
group_9526,hypothetical protein
group_9525,CopG family transcriptional regulator
group_9521,hypothetical protein
group_9512,hypothetical protein
group_9511,Ead/Ea22-like family protein
group_9509,Integrase
group_9508,hypothetical protein
group_9507,DUF2971 domain-containing protein
group_9505,Phage protein
group_9501,hypothetical protein
group_9500,cell division protein ZapE
group_9495,DRBM domain-containing protein
group_9489,hypothetical protein
group_9486,Alpha/beta hydrolase
group_9473,Gamma-glutamylcyclotransferase
group_9468,YafA
group_9462,Phage tail protein
group_9461,ATP-binding protein
group_9460,hypothetical protein
group_9458,hypothetical protein
group_9457,hypothetical protein
group_9456,DUF1097 domain-containing protein
group_9452,hypothetical protein
group_9448,hypothetical protein
group_9446,Pilus assembly protein
group_9445,NADPH:quinone reductase or related Zn-dependent oxidoreductase
group_9444,DUF523 domain-containing protein
group_9443,hypothetical protein
group_9442,ABC transporter permease
group_9441,hypothetical protein
group_9435,Phosphotransferase system galactitol-specific IIB component
group_9428,hypothetical protein
group_9423,hypothetical protein
group_9419,DNA (cytosine-5-)-methyltransferase
group_9413,DUF1100 domain-containing protein
group_9411,hypothetical protein
group_9405,Helix-turn-helix domain-containing protein
group_9402,phage regulatory CII family protein
group_9399,hypothetical protein
group_9398,hypothetical protein
group_9391,dTDP-glucose pyrophosphorylase
group_9390,DUF2938 domain-containing protein
group_9386,HD domain-containing protein
group_9385,Arc-like DNA binding domain-containing protein
group_9384,Toxic polypeptide small
hemS,Putative heme degradation protein
group_9383,methionine synthase
group_9381,iron-containing alcohol dehydrogenase
group_9377,ParA family protein
group_9375,DUF551 domain-containing protein
group_9372,Oxidoreductase NAD-binding domain protein
group_9371,Ribose/xylose/arabinose/galactoside ABC-type transport system permease component
group_9370,Transcriptional regulator LacI family
group_9369,ABC-type Fe3+ transport system periplasmic component
group_9364,DUF3850 domain-containing protein
group_9362,Type IV secretory pathway VirB6 component
group_9360,hypothetical protein
group_9356,hypothetical protein
group_9346,hypothetical protein
group_9339,DUF4760 domain-containing protein
group_9337,hypothetical protein
group_9330,hypothetical protein
group_9321,major capsid protein
group_9317,AraC-type DNA-binding domain and AraC-containing proteins
group_9316,Adenylate kinase or related kinase
group_9314,IS630 family transposase
group_9311,Inner membrane protein
cheW,purine-binding chemotaxis protein CheW
gsiA,Glutathione import ATP-binding protein GsiA
group_9308,hypothetical protein
group_9306,HTH araC/xylS-type domain-containing protein
group_9304,hypothetical protein
group_9296,phage portal protein
group_9295,ABC-three component (ABC-3C) system Middle Component 3
group_9288,Ead/Ea22-like family protein
group_9286,hypothetical protein
yafA,Protein YafA
group_9280,HK97 gp10 family phage protein
group_9279,putative ATPase
group_9278,NADPH-dependent curcumin reductase CurA
group_9275,hypothetical protein
group_9258,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
group_9255,hypothetical protein
group_9254,Bacteriophage protein
group_9253,Helix-turn-helix domain-containing protein
group_9252,hypothetical protein
group_9251,hypothetical protein
group_9249,AlpA family phage regulatory protein
group_9247,Phosphatidate cytidylyltransferase
group_9246,Cytoplasmic protein
group_9245,DUF2474 domain-containing protein
group_9243,hypothetical protein
iscR,DNA-binding transcriptional regulator IscR family
group_9242,helicase RepA family protein
group_9241,TIR domain-containing protein
group_9240,hypothetical protein
group_9238,Cytoplasmic protein
group_9237,hypothetical protein
group_9236,hypothetical protein
group_9230,Fimbrial protein
group_9229,Aminomethyltransferase
group_9225,Methyltransferase
group_9213,hypothetical protein
group_9210,Arc family DNA-binding protein
group_9209,hypothetical protein
group_9198,hypothetical protein
group_9192,DUF262 domain-containing protein
group_9188,hypothetical protein
ampH,D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
group_9177,Histone like DNA-binding protein HU-alpha
group_9173,Phage tail protein
group_9165,DNA-binding transcriptional regulator LacI/PurR family
group_9163,hypothetical protein
group_9162,L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
aroH,3-deoxy-7-phosphoheptulonate synthase AroH
group_9161,Phage protein
group_9159,ATP synthase F0 subunit 8
fbpC,ferric ABC transporter ATP-binding protein
group_9156,hypothetical protein
group_9154,helix-turn-helix domain-containing protein
group_9152,Core-binding (CB) domain-containing protein
group_9151,TVP38/TMEM64 family membrane protein
rmf,ribosome modulation factor
group_9147,hypothetical protein
group_9144,hypothetical protein
group_9143,hypothetical protein
group_9135,Spermidine/putrescine-binding periplasmic protein
group_9134,D-arabinose 1-dehydrogenase Zn-dependent alcohol dehydrogenase family
cheB,Chemotaxis response regulator CheB contains REC and protein-glutamate methylesterase domains
group_9133,hypothetical protein
group_9132,Cytosine-specific methyltransferase
group_9123,hypothetical protein
group_9115,hypothetical protein
group_9110,hypothetical protein
group_9108,hypothetical protein
group_9106,hypothetical protein
group_9105,DUF3644 domain-containing protein
group_9102,hypothetical protein
group_9098,hypothetical protein
group_9096,Antitoxin SocA-like Panacea domain-containing protein
group_9095,hypothetical protein
group_9094,putative acetyltransferase GNAT family
group_9093,3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase
group_9090,GNAT family N-acetyltransferase
group_9086,Ead/Ea22-like family protein
group_9085,Prophage protein
group_9080,Type 1 fimbrae adaptor subunit FimG
group_9073,Coiled-coil protein from phage origin
group_9071,hypothetical protein
group_9059,putative metal-dependent hydrolase TIM-barrel fold
group_9056,hypothetical protein
group_9054,phage major tail tube protein
group_9051,hypothetical protein
group_9050,hypothetical protein
group_9048,acyltransferase
group_9047,hypothetical protein
group_9039,hypothetical protein
group_9037,RecA regulator RecX
group_9035,putative phage abortive infection protein
group_9034,Type II toxin-antitoxin system HicA family toxin
group_9032,Peptidase U49
group_9030,Serine/threonine phosphatase stp
group_9027,vitamin B12 ABC transporter permease BtuC
group_9026,Fe/B12 periplasmic-binding domain-containing protein
group_9020,hypothetical protein
group_9017,Endopeptidase O
group_9016,hypothetical protein
group_9015,putative zinc ribbon protein
group_9007,Fimbrial-type adhesion domain-containing protein
group_9006,type II secretion system minor pseudopilin GspH
group_9005,Transposase (putative) YhgA-like domain-containing protein
group_8989,DUF551 domain-containing protein
group_8983,hypothetical protein
group_8982,DNA-binding beta-propeller fold protein YncE
group_8980,hypothetical protein
group_8979,hypothetical protein
